protein_id,graph_degree,graph_weight,graph_lift,phenotype_difference,coefficient,absolute_coefficient,graph_degree_rank,model_rank
Q96RT7,340,1603.0,2134.870709999999,0.0315236338594502,0.1834479620666042,0.1834479620666042,211.0,148.0
P85298,3186,13974.0,21607.65914999986,-0.0337391723643261,-0.1792845494086534,0.1792845494086534,17.0,152.0
Q10571,3805,17567.0,25454.08558999996,-0.1094456645503232,-0.3223451276281722,0.3223451276281722,11.0,64.0
P13866,207,913.0,1338.1295,-0.0499740021987804,-0.2364470146330325,0.2364470146330325,270.0,117.0
Q04917,207,913.0,1338.1295,-0.0472196111674962,-0.3727949920372241,0.3727949920372241,270.0,43.0
O14994,3971,22170.0,25272.978689999985,-0.0390713286017323,0.1156019994179248,0.1156019994179248,10.0,222.0
Q2M1V0,198,1038.0,1259.1443900000006,0.0025991212822713,0.2634243306589508,0.2634243306589508,276.0,95.0
Q9HBI0,832,5113.0,5519.975960000001,0.0356802843221171,-0.2819830666743332,0.2819830666743332,106.0,80.0
Q96F46,432,2786.0,2718.6714599999996,0.0133564319301608,-0.2406644825029016,0.2406644825029016,194.0,113.0
Q9NV39,891,5114.0,5821.856770000015,-0.0326734399242951,-0.1781728981462147,0.1781728981462147,97.0,155.0
Q07869,2195,14774.0,14175.30244,0.0438543417551571,-0.0034416378854171,0.0034416378854171,27.0,395.0
Q9NY65,1438,7362.0,9536.499530000006,0.025343914973769,-0.0684172722485186,0.0684172722485186,45.0,282.0
P21964,840,5277.0,5381.701739999991,0.0122449303949849,0.0120230140150343,0.0120230140150343,104.0,377.0
P43487,1175,5504.0,7823.251029999988,-0.0099930056731381,-0.2053839379933389,0.2053839379933389,67.0,133.0
Q9ULC8,1175,5504.0,7823.251029999988,0.0415019634494626,-0.0349133669596619,0.0349133669596619,67.0,343.0
Q8IZ69,1175,5504.0,7823.251029999988,-0.0006189638878879,-0.1895611841617042,0.1895611841617042,67.0,145.0
Q8WYQ5,1175,5504.0,7823.251029999988,0.0390578933949008,0.0252110006150923,0.0252110006150923,67.0,353.0
H7C350,1175,5504.0,7823.251029999988,0.0261068461540876,0.1563003887735918,0.1563003887735918,67.0,174.0
Q6ICL3,1246,5738.0,8301.354089999986,0.2466987131573272,0.5212382194709059,0.5212382194709059,64.0,26.0
Q16587,713,3589.0,4731.496909999998,0.0249719963849752,0.0453389477788239,0.0453389477788239,128.0,325.0
Q8WYQ3,1827,9359.0,12217.933659999995,0.0022972434237438,0.0254843424016942,0.0254843424016942,38.0,352.0
P24347,949,5051.0,6481.050630000017,-0.0908575637293598,-0.2839947252500839,0.2839947252500839,90.0,78.0
Q12824,949,5051.0,6481.050630000017,-0.0270123199261806,-0.1484729989948449,0.1484729989948449,90.0,180.0
Q96Q80,949,5051.0,6481.050630000017,0.0178696349916123,0.3710019571493109,0.3710019571493109,90.0,44.0
P43320,729,3866.0,5151.215699999998,0.0850792639988782,0.0183658416999443,0.0183658416999443,125.0,363.0
Q8WWX9,415,3530.0,2532.4604600000007,-0.0629314632191171,0.1440775560369721,0.1440775560369721,196.0,185.0
P53814,415,3530.0,2532.4604600000007,0.0049994418379419,0.0883466070286438,0.0883466070286438,196.0,260.0
Q15735,415,3530.0,2532.4604600000007,0.0299729345182075,-0.3221733534856943,0.3221733534856943,196.0,65.0
Q9NZ20,415,3530.0,2532.4604600000007,-0.0230644244105402,-0.0816017145600512,0.0816017145600512,196.0,267.0
Q9NY91,1797,9533.0,11814.788920000015,-0.003601651283537,0.0927477212630705,0.0927477212630705,40.0,252.0
O95461,6986,35272.0,45246.10619000014,-0.0117836945003304,0.3844847251329792,0.3844847251329792,5.0,37.0
P09382,225,1711.0,1342.33195,0.08929738219698,0.101564415362142,0.101564415362142,242.0,240.0
Q6ZT62,225,1711.0,1342.33195,-0.0414551686170234,-0.2861093530473066,0.2861093530473066,242.0,77.0
Q9UJY5,225,1711.0,1342.33195,0.0194922992967434,-0.2118852202073429,0.2118852202073429,242.0,128.0
Q9Y3L3,225,1711.0,1342.33195,-0.0136449043643978,-0.3556739458642106,0.3556739458642106,242.0,50.0
Q96GD0,225,1711.0,1342.33195,-0.0889170459654273,-0.3419146265437653,0.3419146265437653,242.0,55.0
P49674,2180,8916.0,14677.630700000049,-0.0160543423483243,-0.046950186004152,0.046950186004152,29.0,321.0
P31941,1110,5112.0,7351.129210000002,-0.0020406826237593,-0.1680701937898462,0.1680701937898462,77.0,165.0
Q9UH17,1110,5112.0,7351.129210000002,-0.3047559474913672,-0.715316614233978,0.715316614233978,77.0,17.0
Q96AK3,1258,6868.0,8274.421840000015,-0.0126518868204001,0.0521290919518718,0.0521290919518718,56.0,310.0
Q8IUX4,1258,6868.0,8274.421840000015,0.0270996183090588,0.1374269361994234,0.1374269361994234,56.0,192.0
Q9NRW3,1258,6868.0,8274.421840000015,-0.037126683438327,-0.1946289860511889,0.1946289860511889,56.0,140.0
Q9HC16,1258,6868.0,8274.421840000015,-0.0504367543418977,0.0657864971560179,0.0657864971560179,56.0,285.0
Q8NEG4,1388,8360.0,8901.272219999988,0.0522700974966046,0.0724439833036511,0.0724439833036511,47.0,279.0
Q9UPQ9,506,4534.0,3091.338209999999,0.0120562835339139,0.3614700313938476,0.3614700313938476,163.0,47.0
Q969R5,61,1238.0,346.2734000000001,-0.0021110565555311,-0.3942786220829488,0.3942786220829488,333.0,36.0
Q6NUI6,61,1238.0,346.2734000000001,0.0067260521408094,-0.2338704189647885,0.2338704189647885,333.0,118.0
Q09472,61,1238.0,346.2734000000001,-0.0355950991685869,0.0431113248052589,0.0431113248052589,333.0,330.0
Q14166,1900,8150.0,12754.688279999982,0.6208831782066131,0.7277814730933113,0.7277814730933113,34.0,16.0
Q8IWY4,3335,17544.0,22235.97461999998,0.0036513967740408,-0.3770517014438766,0.3770517014438766,15.0,39.0
O15442,2617,10602.0,17514.37680999994,-0.0986987671590444,-0.3542481058675441,0.3542481058675441,24.0,51.0
Q9BYW1,1054,6591.0,6707.483499999983,0.0301345517034556,-0.1027556322416517,0.1027556322416517,82.0,237.0
Q69YQ0,1352,7812.0,8895.284370000029,0.058358463759168,-0.0916017820438608,0.0916017820438608,49.0,253.0
P36269,838,4128.0,5726.044860000005,-0.0635509750650236,-0.1293905823771689,0.1293905823771689,105.0,204.0
P29274,618,4343.0,3868.8745599999943,-0.0318749196736121,0.2008311280477985,0.2008311280477985,143.0,137.0
P86434,618,4343.0,3868.8745599999943,0.015065746569812,0.1121474526580469,0.1121474526580469,143.0,225.0
P14784,631,4488.0,3895.413439999995,0.0020795879795869,0.0890837738436251,0.0890837738436251,141.0,259.0
P15153,908,4608.0,5584.803720000004,0.0321807781912237,0.1313371103081324,0.1313371103081324,95.0,200.0
Q99705,230,1515.0,1409.0724399999997,0.011326060572756,0.2075597025412866,0.2075597025412866,241.0,132.0
Q969V6,238,1607.0,1453.0910299999991,-0.0234020623011321,-0.3221285494499784,0.3221285494499784,237.0,66.0
Q3SXP7,3124,15021.0,20938.58010999993,-0.0236939393939392,-0.0582979702182808,0.0582979702182808,18.0,296.0
Q6ICG6,649,3073.0,4431.786890000002,-0.0099326391075056,-0.1363303834151517,0.1363303834151517,138.0,195.0
Q6IC98,299,2715.0,1796.8042500000004,-0.0720223316082382,-0.0043575740678457,0.0043575740678457,225.0,394.0
O15371,1905,10494.0,12431.496840000009,-0.1155508910614839,-0.0481035038269638,0.0481035038269638,31.0,319.0
Q99757,1905,10494.0,12431.496840000009,-0.0251996593868977,-0.1224334910368779,0.1224334910368779,31.0,214.0
Q8IWF2,1905,10494.0,12431.496840000009,-0.043318760794774,0.0019198863627132,0.0019198863627132,31.0,397.0
P59817,1174,7120.0,7918.571999999997,-0.0067537918789586,-0.1744590124799808,0.1744590124799808,72.0,159.0
Q86YH2,1174,7120.0,7918.571999999997,0.0632929295000046,0.2251975726816814,0.2251975726816814,72.0,120.0
P35626,1305,6875.0,8341.863370000014,-0.3376414072684,-0.4803045938102609,0.4803045938102609,53.0,28.0
Q9P0X4,3204,15876.0,21178.959359999968,-0.0307536044263034,0.0691516954145366,0.0691516954145366,16.0,280.0
P49593,534,3760.0,3653.4101800000058,-0.0107161644486115,-0.290071955699279,0.290071955699279,160.0,74.0
O95985,534,3760.0,3653.4101800000058,0.053235256328147,-0.1016266591535053,0.1016266591535053,160.0,239.0
Q5R3I4,1248,7632.0,8260.197360000006,0.0337301236712708,-0.0544443841684055,0.0544443841684055,60.0,303.0
O75648,1248,7632.0,8260.197360000006,-0.0183849111647802,-0.1571682074843826,0.1571682074843826,60.0,172.0
Q9NTG1,1248,7632.0,8260.197360000006,0.0134211636510119,0.1370004352489245,0.1370004352489245,60.0,194.0
Q9NYZ3,1248,7632.0,8260.197360000006,-0.0615123346388148,-0.1360022271766985,0.1360022271766985,60.0,196.0
Q7Z3Z3,283,2485.0,1725.08486,-0.0850818694996,-0.1162066549066769,0.1162066549066769,230.0,221.0
Q14390,33,554.0,178.21185000000003,0.0523288963220913,0.4156134507476829,0.4156134507476829,345.0,34.0
Q6NTF7,403,1721.0,2688.8899499999984,0.0462155195214784,0.0326585284508629,0.0326585284508629,201.0,345.0
O95236,266,1542.0,1783.6151900000011,0.0105343011654381,0.1290885538713459,0.1290885538713459,233.0,205.0
P26998,175,1101.0,1102.5715700000003,-0.1592647682726493,-0.1146256971071267,0.1146256971071267,281.0,224.0
Q9BY89,676,3120.0,4490.282270000003,0.0305203628824983,0.0688129963857449,0.0688129963857449,133.0,281.0
Q15750,25,261.0,137.32498,-0.0240805518432551,-0.094126374955728,0.094126374955728,348.0,250.0
Q9BXI9,201,1614.0,1630.5902699999997,-0.0205657315695493,0.1037894481805096,0.1037894481805096,272.0,233.0
P32745,201,1614.0,1630.5902699999997,-0.0054672683739038,-0.507201883412879,0.507201883412879,272.0,27.0
L0R8F8,466,2424.0,2927.352299999997,0.0359893976819307,0.0874378384365622,0.0874378384365622,172.0,262.0
Q9NQG6,466,2424.0,2927.352299999997,-0.0289010531211211,-0.0070519306050027,0.0070519306050027,172.0,389.0
Q09327,466,2424.0,2927.352299999997,0.0241993574880883,0.2387864500119007,0.2387864500119007,172.0,114.0
P18848,466,2424.0,2927.352299999997,-0.0628342111459971,-0.2763799808748533,0.2763799808748533,172.0,84.0
Q86WX3,466,2424.0,2927.352299999997,-0.0234235535497493,-0.0385494035786298,0.0385494035786298,172.0,338.0
O75631,1246,5699.0,8848.45899000001,0.0027262709405082,0.044423000502451,0.044423000502451,64.0,327.0
Q9BQE5,459,3555.0,3064.0061699999974,-0.0992589647488486,-0.4266088880951064,0.4266088880951064,186.0,33.0
P07305,504,2049.0,3388.074100000005,0.0301231493803753,0.3738537066645818,0.3738537066645818,164.0,41.0
O75600,520,2267.0,3477.804220000004,0.0623150169416319,-0.0535812846355973,0.0535812846355973,162.0,306.0
Q9UGY1,504,2049.0,3388.074100000005,0.0249095374077725,0.0150146369504806,0.0150146369504806,164.0,370.0
Q9H2D6,504,2049.0,3388.074100000005,-0.0713754300793816,-0.0090176630593935,0.0090176630593935,164.0,384.0
Q9Y519,163,1939.0,995.34077,0.0303188069879052,-0.0363266999888653,0.0363266999888653,290.0,341.0
O95502,301,1091.0,1903.34585,0.0078812159156456,0.0403472955172079,0.0403472955172079,223.0,335.0
O96015,301,1091.0,1903.34585,-0.1996178178345093,-0.0862441772960466,0.0862441772960466,223.0,263.0
Q15049,14,364.0,83.09653999999999,0.0209325299520255,-0.0915284265877153,0.0915284265877153,363.0,254.0
Q9BXT6,14,364.0,83.09653999999999,-0.0080602585159628,-0.0184288049973064,0.0184288049973064,363.0,362.0
A6PVC2,14,364.0,83.09653999999999,-0.0240866356797599,0.0215055089465161,0.0215055089465161,363.0,355.0
A0A024R1R8,408,1848.0,2775.295470000002,0.0158708631025685,0.0097964952276174,0.0097964952276174,200.0,381.0
Q12772,276,2723.0,2054.9810399999997,0.0142165826953988,0.0214393103433538,0.0214393103433538,231.0,356.0
P55769,51,804.0,278.99939,-0.0075376109470663,0.1091248860716086,0.1091248860716086,336.0,227.0
Q92871,51,804.0,278.99939,0.0020026498894356,-0.0962221135869072,0.0962221135869072,336.0,248.0
Q6ICB0,51,804.0,278.99939,0.0583740895619016,0.0491640724734661,0.0491640724734661,336.0,318.0
Q9H6E4,51,804.0,278.99939,0.8591844170262615,1.4007498836873176,1.4007498836873176,336.0,6.0
Q9Y534,51,804.0,278.99939,0.0216361947573497,-0.1047393477821202,0.1047393477821202,336.0,232.0
Q5TIA1,51,804.0,278.99939,-0.0019715377650557,0.0197898069385323,0.0197898069385323,336.0,360.0
P12956,51,804.0,278.99939,0.0291683588759923,0.1203673785297103,0.1203673785297103,336.0,216.0
Q6NVV7,399,3172.0,2557.07812,0.035282487975655,0.23671315283071,0.23671315283071,202.0,116.0
Q9UKI3,881,4431.0,5758.592660000014,0.0626754439504253,0.155685301894435,0.155685301894435,98.0,175.0
Q8WYQ4,881,4431.0,5758.592660000014,-0.0483163135683035,-0.2601662363806223,0.2601662363806223,98.0,98.0
P30536,1130,4805.0,7676.824680000027,0.0255251222667265,0.0753399894040527,0.0753399894040527,75.0,275.0
B1AH88,1130,4805.0,7676.824680000027,-0.0427210350991025,0.1687145450095593,0.1687145450095593,75.0,163.0
Q9BXK5,70,669.0,429.9602,-0.4184410389552528,-0.5344856327563763,0.5344856327563763,331.0,25.0
P55957,119,978.0,723.6299400000001,-0.0091741903283057,0.2421642747783522,0.2421642747783522,307.0,112.0
P19440,623,3682.0,3869.453209999997,-0.0333871536035808,0.0081539326784388,0.0081539326784388,142.0,387.0
Q2VPJ9,1080,5662.0,6854.358190000002,-0.0282612904639236,-0.0628864364367678,0.0628864364367678,80.0,289.0
Q5THK1,1147,6438.0,7488.256349999993,-0.0329621796369892,0.0999607055452488,0.0999607055452488,74.0,246.0
Q9Y442,611,4011.0,3946.190149999999,0.0851440872170554,0.0907973801269903,0.0907973801269903,147.0,256.0
O75140,611,4011.0,3946.190149999999,-0.0295065589995466,0.066719147876044,0.066719147876044,147.0,283.0
Q9Y3I0,70,1190.0,417.5788999999999,-0.0006310833962821,0.2527587490591957,0.2527587490591957,331.0,105.0
P85299,3725,19223.0,24564.09122999984,0.0472326160504774,0.1514996048540708,0.1514996048540708,12.0,178.0
O43808,385,3556.0,2363.212140000001,-0.0778314593493476,-0.0625669394147077,0.0625669394147077,203.0,290.0
P62877,164,1982.0,944.9070999999996,0.0642211099891341,-0.1000576452409516,0.1000576452409516,285.0,244.0
Q9NQH7,164,1982.0,944.9070999999996,0.0538664059182441,0.2637139551983549,0.2637139551983549,285.0,94.0
Q8NFI4,164,1982.0,944.9070999999996,0.0195734425621338,0.1263785675101462,0.1263785675101462,285.0,210.0
Q7Z6W7,164,1982.0,944.9070999999996,0.0124729387838211,0.0160958449371016,0.0160958449371016,285.0,368.0
P50502,164,1982.0,944.9070999999996,0.1099529750677241,0.3036276790129871,0.3036276790129871,285.0,69.0
P15018,841,4910.0,5386.619750000002,-0.0076464612183233,0.3640688832665409,0.3640688832665409,102.0,46.0
P13725,841,4910.0,5386.619750000002,0.0133255220021677,-0.1162287300142932,0.1162287300142932,102.0,220.0
O75679,199,1747.0,1273.54891,-0.0185857734398107,-0.0174050253437272,0.0174050253437272,274.0,366.0
P0C7P2,199,1747.0,1273.54891,0.0232126784680595,-0.0642963844847707,0.0642963844847707,274.0,287.0
P09601,612,3172.0,4089.97535,-0.0126366253318392,0.3534907564197475,0.3534907564197475,146.0,52.0
P33992,984,5040.0,6417.0620700000145,0.0274432026102591,0.0560870970644475,0.0560870970644475,85.0,301.0
P35625,611,3399.0,3827.944830000008,-0.0135915509633015,-0.2704113411432982,0.2704113411432982,147.0,89.0
O00587,1055,4654.0,7179.837550000011,0.0001387507392545,-0.0806231966065428,0.0806231966065428,81.0,268.0
Q6P5X5,11,266.0,57.09067,0.0177067393381769,0.0169110391976963,0.0169110391976963,372.0,367.0
O75419,11,266.0,57.09067,0.1039434100936116,0.2615130814976115,0.2615130814976115,372.0,96.0
O00501,11,266.0,57.09067,-0.0051613694619074,-0.0158198735423046,0.0158198735423046,372.0,369.0
Q92890,11,266.0,57.09067,-0.4463065901636982,-0.570364257563825,0.570364257563825,372.0,21.0
Q9UIA0,1575,7317.0,10557.51469999999,-0.0248730477427407,-0.0805003123837061,0.0805003123837061,42.0,269.0
P56706,2054,10323.0,13730.361100000018,0.0977038837424242,0.2698091647634591,0.2698091647634591,30.0,90.0
Q8IWD4,480,2782.0,3054.7996800000005,0.0368647056343629,-0.1078869185893327,0.1078869185893327,168.0,229.0
Q8IWL3,480,2782.0,3054.7996800000005,0.0507129340370067,-0.1785262494680091,0.1785262494680091,168.0,154.0
P17861,480,2782.0,3054.7996800000005,0.0172152971576231,0.116997588134117,0.116997588134117,168.0,219.0
O95696,183,1226.0,1117.71351,0.0196881453347206,0.0527285215846154,0.0527285215846154,277.0,307.0
O75132,183,1226.0,1117.71351,-0.0581964289311311,0.0590411061310636,0.0590411061310636,277.0,295.0
Q6UXH1,183,1226.0,1117.71351,-0.0173461444196112,-0.3479251914698259,0.3479251914698259,277.0,54.0
Q9BV10,183,1226.0,1117.71351,0.0083735436218281,0.010471908072669,0.010471908072669,277.0,380.0
Q96NN9,1668,7485.0,11302.552499999989,0.0297721881157251,-0.0131154891143401,0.0131154891143401,41.0,375.0
Q969R2,1366,7001.0,9269.0145,-0.0261700131048474,-0.0582968951074587,0.0582968951074587,48.0,297.0
O95931,567,2539.0,3807.133740000007,-0.0076664846923844,-0.014403254812309,0.014403254812309,154.0,372.0
O43246,580,3660.0,3726.7836200000024,0.080908508811305,0.0899355777821694,0.0899355777821694,152.0,257.0
O15547,1342,7760.0,8562.153519999998,0.9557198630907386,1.6973803328731707,1.6973803328731707,50.0,4.0
Q6ZQY2,580,3660.0,3726.7836200000024,-0.0331570004412427,0.1009504014423182,0.1009504014423182,152.0,242.0
Q6ZR54,90,388.0,552.3177900000001,0.0043940180639978,0.2642426610472792,0.2642426610472792,322.0,93.0
P12036,810,3685.0,5406.05751,-0.0452120273366105,-0.3689471855507682,0.3689471855507682,112.0,45.0
O75677,810,3685.0,5406.05751,-0.0299793686070781,0.0212352431636589,0.0212352431636589,112.0,357.0
Q6ICG8,225,1919.0,1775.981649999999,-0.0486389311232908,-0.0176084035463283,0.0176084035463283,242.0,365.0
Q9NSP4,225,1919.0,1775.981649999999,-0.0185729993327736,0.1657082338896073,0.1657082338896073,242.0,167.0
P17050,325,2714.0,2400.066710000002,0.0530411402090624,0.7744804671438541,0.7744804671438541,221.0,15.0
Q96RJ3,225,1919.0,1775.981649999999,-0.0623914336639348,-0.1630371712964221,0.1630371712964221,242.0,168.0
Q9UH03,225,1919.0,1775.981649999999,0.0033549670586268,-0.0738383023507402,0.0738383023507402,242.0,278.0
B8ZZ34,225,1919.0,1775.981649999999,0.0346069641242081,0.0145872196265924,0.0145872196265924,242.0,371.0
A0A590UK83,225,1919.0,1775.981649999999,0.0014336046971692,0.2819799414523628,0.2819799414523628,242.0,81.0
O43247,635,2715.0,4162.46953,-0.061329555108669,-0.0909094792198916,0.0909094792198916,139.0,255.0
P25325,662,2868.0,4318.240940000002,0.0391535233890181,0.0853264500344171,0.0853264500344171,137.0,265.0
Q16762,635,2715.0,4162.46953,-0.0004744160499523,0.005728774663707,0.005728774663707,139.0,393.0
Q9BXW7,788,3872.0,5118.408560000001,0.0117941800077101,0.5693485949341052,0.5693485949341052,115.0,22.0
Q9NZK5,258,1206.0,1599.6955899999996,-0.0233268597120428,-0.2997064120467715,0.2997064120467715,234.0,70.0
Q15080,1816,8621.0,11688.597660000009,-0.0075277554027781,-0.0413264100809709,0.0413264100809709,39.0,332.0
Q6ICC9,1107,6214.0,7209.514589999993,0.0116420196594102,-0.1249105653401174,0.1249105653401174,79.0,211.0
P78395,931,3989.0,6093.132380000004,0.0129140713252127,0.196248955625948,0.196248955625948,93.0,138.0
P13224,1861,7801.0,12200.686060000022,0.0088084417484779,0.0414474524356986,0.0414474524356986,35.0,331.0
Q99719,1861,7801.0,12200.686060000022,-0.0143789838102028,-0.0070699584618269,0.0070699584618269,35.0,388.0
O00192,156,1513.0,969.2667800000004,0.0461436359792202,0.2559891997864896,0.2559891997864896,292.0,103.0
P14174,443,2864.0,2828.7876300000044,0.0540453366607938,-0.3407807592779961,0.3407807592779961,192.0,56.0
O60704,375,2592.0,2552.522040000004,0.0377430144430146,0.137008854736398,0.137008854736398,206.0,193.0
Q9UG56,541,2527.0,3584.092689999994,-0.0380301541519871,-0.2146243873701498,0.2146243873701498,157.0,126.0
Q9NRA8,541,2527.0,3584.092689999994,-0.018915083880822,0.0742047766218995,0.0742047766218995,157.0,277.0
A8K8P3,541,2527.0,3584.092689999994,-0.0518706252473748,0.1010808519929173,0.1010808519929173,157.0,241.0
Q9NPC4,148,1616.0,869.9505599999999,-0.0294623251213277,0.3400246977627879,0.3400246977627879,302.0,58.0
Q7Z412,787,3496.0,5358.118510000009,-0.0254518406928117,-0.0105305841627699,0.0105305841627699,116.0,379.0
A0A0A0MRZ9,778,3858.0,5168.93199,-0.0127417634077104,-0.0090678654703404,0.0090678654703404,118.0,383.0
P01701,778,3858.0,5168.93199,0.0243518706713121,0.1287403874415517,0.1287403874415517,118.0,206.0
O75678,292,1681.0,1802.194239999999,-0.0077390265455079,-0.0512781683196728,0.0512781683196728,226.0,314.0
Q9UMW8,848,3335.0,5653.524530000015,-0.0166708943551832,-0.146771540161986,0.146771540161986,101.0,182.0
Q9BZR6,239,1732.0,1423.1684199999995,0.0123806398930081,-0.258103000824808,0.258103000824808,235.0,100.0
Q9H1I8,14,562.0,78.19045999999999,0.016599397093282,0.286142608687784,0.286142608687784,363.0,76.0
Q86V35,14,562.0,78.19045999999999,-0.040317084656877,-0.149887646908164,0.149887646908164,363.0,179.0
Q9UDW1,14,562.0,78.19045999999999,-0.1205620969885572,-0.1419967433769691,0.1419967433769691,363.0,190.0
Q9UDW3,14,562.0,78.19045999999999,-0.0910141432694837,-0.2138767018973802,0.2138767018973802,363.0,127.0
Q13615,127,890.0,853.6016899999996,-0.0358896621101241,-0.2270056824255982,0.2270056824255982,305.0,119.0
